,,,Batting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitching,,,,,,,,,,,,,,,
Number,Last,First,GP,PA,AB,AVG,OBP,OPS,SLG,H,1B,2B,3B,HR,RBI,R,BB,SO,K-L,HBP,SAC,SF,ROE,FC,SB,SB%,CS,PIK,QAB,QAB%,PA/BB,BB/K,C%,HHB,LD%,FB%,GB%,BABIP,BA/RISP,LOB,2OUTRBI,XBH,TB,PS,PS/PA,2S+3,2S+3%,6+,6+%,AB/HR,GIDP,GITP,CI,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO
00,,Jace,5,11,7,0.429,0.636,1.208,0.571,3,2,1,0,0,4,4,4,2,0,0,0,0,1,0,3,100,0,0,9,81.82,2.8,2,71.43,1,20,40,40,0.6,0,4,0,1,4,51,4.636,2,18.18,5,45.45,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,,Max,8,17,10,0.3,0.588,1.088,0.5,3,1,2,0,0,3,6,6,3,1,1,0,0,1,0,7,100,0,1,10,58.82,2.8,2,70,2,33.33,50,16.67,0.429,0.25,10,1,2,5,64,3.765,1,5.88,1,5.88,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Torres,Josiah,16,36,31,0.452,0.528,1.141,0.613,14,9,5,0,0,10,14,5,3,1,0,0,0,6,0,12,100,0,0,20,55.56,7.2,1.667,90.32,8,17.86,32.14,50,0.5,0.389,14,3,5,19,122,3.389,4,11.11,5,13.89,-,0,0,0,10,3,2,43,139,0,0,0,0,0,-,10,10,7,4,7
1,,,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,-,0,0,1,25,-,0,25,0,-,-,-,0,0,6,0,0,0,14,3.5,1,25,0,0,-,0,0,0,2,1,0,13,49,0,0,0,0,0,-,3,3,3,1,3
2,Snell,Nate,27,57,41,0.463,0.614,1.199,0.585,19,14,5,0,0,13,16,14,8,6,2,0,0,0,3,12,100,0,0,28,49.12,4.1,1.75,80.49,8,18.18,21.21,60.61,0.576,0.4,19,5,5,24,209,3.667,2,3.51,11,19.3,-,0,0,0,3,6,4,40,150,0,0,0,0,0,-,12,25,19,17,3
3,Tapia,Luis,27,49,40,0.25,0.388,0.638,0.25,10,10,0,0,0,12,13,8,6,3,1,0,0,1,1,9,90,1,0,17,34.69,6.1,1.333,85,4,11.76,29.41,58.82,0.294,0.28,33,1,0,10,183,3.735,5,10.2,11,22.45,-,0,0,0,6,5,4,56,179,0,0,0,0,0,-,15,22,18,18,3
7,Torres,Cesar,27,57,37,0.162,0.456,0.672,0.216,6,4,2,0,0,5,14,19,18,10,1,0,0,2,1,18,100,0,0,31,54.39,3,1.056,51.35,4,10.53,21.05,68.42,0.316,0.211,26,2,2,8,231,4.053,9,15.79,11,19.3,-,0,0,0,6.1,6,4,58,225,0,0,0,0,0,-,19,28,22,17,6
8,Malone,Ryland,26,55,46,0.304,0.418,0.875,0.457,14,9,3,2,0,14,6,9,11,6,0,0,0,4,1,3,100,0,0,23,41.82,6.1,0.818,76.09,8,17.14,25.71,57.14,0.4,0.276,26,3,5,21,197,3.582,3,5.45,9,16.36,-,0,0,0,16,10,5,98,334,0,0,0,0,0,-,21,34,20,23,12
10,Ledezma,Fernando,7,13,7,0.286,0.615,0.901,0.286,2,2,0,0,0,0,1,5,4,1,1,0,0,0,0,3,100,0,0,7,53.85,2.6,1.25,42.86,0,0,66.67,33.33,0.667,0,4,0,0,2,57,4.385,1,7.69,4,30.77,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
